Categoria;Subpasta
Academia;Músicas para treinar
Academia;Crossfit
Academia;Yoga & Meditação
Arrocha;Arrocha atualizadas
Arrocha;Arrocha antigas
Black Music;Black  98 - 2000
Blues;Blues Internacional
Bossa Nova;Lounge Brazil
Brega;Brega atual
Brega;Tecnobrega
Brega;Brega Funk
Brega;Brega Paraense
Brega;Brega Pernambucano
Brega;Brega Antigo
Carnaval;Marchinhas
Carnaval;Sambas de Enredo RJ
Carnaval;Axé Geral (Bahia)
Carnaval;Frevo (Recife)
Clássicas;Músicas Clássicas
Clássicas;Ópera
Country;Country
Cumbia;Cumbias Argentinas
Cumbia;Cumbias Colombianas
Dança de Salão;Balé Clássico
Dança de Salão;Boleros
Dança de Salão;Dança Contemporânea
Dança de Salão;Dança do Ventre
Dança de Salão;Kizomba
Dança de Salão;Lambada
Dança de Salão;Salsa
Dança de Salão;Zouk
Dança de Salão;Tango
Dança de Salão;Sapateado
Dança de Salão;Valsa
Eletrônicas;EletroFunk
Eletrônicas;Afro House
Eletrônicas;As Melhores do Alok
Eletrônicas;As Melhores do David Guetta
Eletrônicas;As Melhores do Alan Walker
Eletrônicas;As Melhores do Armin van Buuren
Eletrônicas;As Melhores do Benny Benassi
Eletrônicas;As Melhores do Calvin Harris
Eletrônicas;As Melhores do Dimitri Vegas e Like Mike
Eletrônicas;As Melhores do DJ Ross
Eletrônicas;As Melhores do Gigi D_Agostino
Eletrônicas;As Melhores do Kasino
Eletrônicas;As Melhores do Swedish House Mafia
Eletrônicas;As Melhores do Tiesto
Eletrônicas;Drum N_Bass
Eletrônicas;Nacionais Remix
Eletrônicas;House
Eletrônicas;Tech House
Eletrônicas;Techno
Eletrônicas;Trap
Eletrônicas;Psy Trance
Eletrônicas;Tribal House
Eletrônicas;Acid House
Eletrônicas;Deep House
Eletrônicas;Tecno
Eletrônicas;Rave
Eletrônicas;Eurodance anos 90
Eletrônicas;Progressive House
Flash Back;FlashBack Dançante anos 60 - 70 - 80
Flash Back;FlashBack Dançante anos 90 - 2000
Flash Back;Flashback Romantico 70 - 80
Flash Back;Flashback Romantico 90 - 2000
Forró;Atual
Forró;Antigo
Forró;Festa Junina
Forró;Vaquejada
Forró;Forró Pé de Serra
Forró;Forró Romântico
Forró;Forró Universitário
Freestyle;Freestyle anos 80
Funk;Brasil
Funk;Furacão 2000
Gospel;Louvores
Gospel;Hinos Antigos
Gospel;Baladas Eletrônicas
Gospel;Rap - Trap
Gospel;Rock
Gospel;Sertanejo Gospel
Gospel;Infantil
Gospel;Forró
Gospel;Funk 
Gospel;Pagode
Gospel;Reggae
Gospel;Samba
Infantil;Infantil (Geral)
Internacionais;Músicas Africanas - Argentinas - Francesas
Internacionais;Músicas Italianas - Japonesas - Mexicanas
Jazz;Jazz
Jovem Guarda;Jovem guarda anos 60 - 70
Miami Bass;Miami Bass anos 80
Moda de Viola;Moda de viola Raiz
MPB; Melhores da MPB
Pagode;Pagode atual(Geral)
Pagode;Pagode antigo(Geral)
Pagode;Pagode Funk
Piseiro;Piseiro atual
Piseiro;Piseiro antigo
Pop;K-Pop
Rock;Classic Rock Ballads(Lentas)
Rock;Rock Nacional 80s
Rock;Hard Rock
Rock;Rock 'n' Roll Clássico (50s-60s)
Rock;Heavy Metal
Rock;Progressivo
Rock;Punk Rock
Rap - Hip Hop;Anos 80 - 90
Rap - Hip Hop;Atual
Reggae;Roots Vinil (Disco Bolachão)
Reggae;Eletrônico (Maranhão)
Reggae;Eletrônico (Caminhoneiro)
Reggae;Nacional
Reggae;Reggaeton
Reggae;Dub (Instrumental)
Reggae;Dancehall
Samba;Sambas Raiz
Serestas;Serestas Nacionais
Serestas;Serestas Internacionais
Sertanejo;Raiz
Sertanejo;Universitário
Temas de Filmes;Temas de Filmes
Zumba;Zumba Hits
